train_loss_tab,train_acc_tab,valid_loss_tab,valid_acc_tab
0.026108278704905195,0.8475263157894737,0.0001174319550045766,0.8951666666666667
0.01188952503552693,0.9367192982456141,5.747540853917599e-05,0.915
0.006851773716934156,0.9639824561403508,0.000140764910611324,0.9186666666666666
0.003911041509654177,0.9809210526315789,0.00018234633898828179,0.9141666666666667
0.0022770324534687556,0.9896754385964912,0.00016586029960308224,0.9183333333333333
0.001511707398125477,0.9937719298245614,0.00024614084395579994,0.9115
0.0010481537362201172,0.9960964912280702,0.00015837863611523062,0.9201666666666667
0.000836223023894586,0.9967368421052631,0.00020026967104058713,0.9203333333333333
0.0006286615731946209,0.9977719298245614,0.0001796300639398396,0.9185
0.0005077906387547652,0.9981578947368421,0.00016283222066704184,0.92
0.0004442999370788273,0.9984561403508772,0.00021276263578329235,0.9208333333333333
0.0003767710233989515,0.9987280701754386,0.00018137210281565785,0.9215
0.000324231735054861,0.9989473684210526,0.00015261837688740343,0.9206666666666666
0.00028932914451548926,0.9991842105263158,0.00023776621674187481,0.9205
0.00026216810444990794,0.9993157894736842,0.00021526844648178667,0.9213333333333333
0.00024106473998542418,0.9993596491228071,0.00020161416614428163,0.9211666666666667
0.00022360189742686457,0.9994122807017544,0.00021679728524759412,0.9196666666666666
0.00021310953939693015,0.9995,0.00019589709700085223,0.9218333333333333
0.00019922017489086119,0.9994736842105263,0.0002473246422596276,0.9206666666666666
0.0001881766348031529,0.9995526315789474,0.00022971566068008542,0.922
