train_swag_loss,train_swag_accuracy,test_swag_loss,test_swag_accuracy
145.36048201262042,61.837246963562755,150.45962975560425,60.323076923076925
145.30598319667027,61.85198380566802,150.42100309289603,60.30153846153846
145.26647196717073,61.87740890688259,150.38775631640598,60.30153846153846
145.24020555391002,61.885991902834,150.37157695568249,60.32615384615385
145.21815949243978,61.88923076923077,150.3593334021339,60.34461538461539
145.1988498437643,61.89473684210526,150.34941633475103,60.353846153846156
145.18128947002984,61.8982995951417,150.34067361685862,60.35076923076923
145.1671245609008,61.8982995951417,150.332228459051,60.341538461538455
145.15362965064347,61.89732793522267,150.3244569124121,60.36615384615385
145.14153159984636,61.9038056680162,150.3188811521145,60.35076923076923
