train_loss_tab,train_acc_tab,valid_loss_tab,valid_acc_tab
0.02622239156250368,0.8468771929824561,4.028597686556168e-05,0.9055
0.012089611339856659,0.9352105263157895,3.438596468186006e-05,0.9173333333333333
0.007025881558754727,0.9629298245614035,1.0913143341895193e-05,0.9111666666666667
0.003747499000738587,0.9813245614035088,2.955560375994537e-05,0.9168333333333333
0.002074266581420313,0.9908070175438597,6.7284604483575094e-06,0.923
0.0012163282711254923,0.9953157894736843,4.955058102495968e-06,0.9216666666666666
0.000778474358482319,0.9971666666666666,1.2060050721629523e-05,0.9225
0.0005493149024091269,0.9983684210526316,1.0873545761569403e-05,0.9221666666666667
0.00043908000299543664,0.9990263157894737,6.930614290467929e-06,0.9228333333333333
0.0003946133946117602,0.9992894736842105,7.509132046834566e-06,0.9235
0.0003830756528727841,0.999421052631579,7.509132046834566e-06,0.9235
0.0003885523603020007,0.9993859649122807,7.230683877423871e-06,0.9236666666666666
0.00040492373731052666,0.999140350877193,8.0352720033261e-06,0.9245
0.0004270293577982668,0.9989385964912281,6.749451131327078e-06,0.9236666666666666
0.00047090078151801177,0.9985526315789474,4.626005647878628e-06,0.9228333333333333
0.0005885549952978628,0.9979385964912281,1.5554731362499297e-05,0.92
0.000776973044336365,0.9972543859649122,3.8143098208820447e-06,0.9216666666666666
0.0010637673861755613,0.9959298245614036,2.1052856027381495e-06,0.9191666666666667
0.0013227998039832241,0.9944385964912281,9.731144018587656e-06,0.9171666666666667
0.0015954991538535085,0.9932192982456141,1.7908781956066377e-05,0.9166666666666666
