train_loss_tab,train_acc_tab,valid_loss_tab,valid_acc_tab
0.03241428782150411,0.8770350877192983,0.00021048058988526464,0.7775
0.004974132895501833,0.9819122807017544,1.0238972208753694e-05,0.9188333333333333
0.0019477800929029432,0.9929561403508772,1.3598352097687894e-06,0.9196666666666666
0.001183393286190582,0.9958684210526316,3.8296187995001674e-05,0.9175
0.0008967173876678173,0.9971052631578947,3.547823507688008e-05,0.9188333333333333
0.0006267534668252011,0.9978859649122807,3.435783219174482e-05,0.9203333333333333
0.00046202337924516635,0.9983771929824561,6.10494680586271e-05,0.92
0.00043733322647849013,0.9987280701754386,5.362724550650455e-05,0.9185
0.0004066990187936123,0.9986403508771929,7.17445436748676e-06,0.9196666666666666
0.00031809385720407593,0.998859649122807,5.009925371268764e-05,0.922
0.00031417836557439094,0.9989035087719298,5.025071368436329e-05,0.9191666666666667
0.0002669709804056829,0.9990263157894737,1.8666727555682883e-05,0.923
0.00022802186350178856,0.9991578947368421,4.48988976131659e-05,0.921
0.0001863179687756911,0.9993070175438596,2.150097134290263e-05,0.919
0.00019105411542598934,0.9993596491228071,1.5299148799385875e-05,0.9188333333333333
0.00018752117736597172,0.999280701754386,2.8309686967986636e-05,0.917
0.00015730992935392637,0.9993508771929824,2.0240669982740656e-05,0.921
0.00012147924311919492,0.9994912280701754,2.6752682970254682e-05,0.921
0.00013809740427384162,0.999561403508772,2.7675969249685295e-05,0.9213333333333333
0.0001230063261168094,0.9995964912280701,3.97178519051522e-05,0.9186666666666666
